Year,Tag Number,PM Service,KIMAP,Material,Qty
2022,SK-95,PM 6M,2029710045,"ELEMENT,FILTER,1087491-3,SOLAR",34
2022,SK-95,PM 6M,2029710044,"ELEMENT,FILTER,1064728-4,SOLAR",19
2022,SK-95,PM 6M,5964910016,"POSITIONER,SRD960-BHNSMN6EDZR,FOXBORO",0
2022,SK-95,PM 6M,2029710046,"ELEMENT,FILTER,190247-5,SOLAR",18
2022,SK-95,PM 3M,6614480121,"CAPACITOR,STD,5%,60UF,250VAC,50/60HZ",0
2022,SK-95,PM 3M,2029710050,"ELEMENT,PRE FILTER,1046853,SOLAR",27
2022,SK-90,PM 3M,6883510024,"TERMINAL,2.5MM2 IIEX,BARTEC",0
2022,SK-90,PM 3M,2050650186,"KIT,ELEMENT,1064728-21,SOLAR",19
2022,SK-90,PM 1M,2034740272,"GASKET,EXHAUST,36 IN,80-30550-400,SOLAR",0
2022,SK-85,PM 6M,2074690034,SEAL BUFFER AIR SOLAR TAURUS60 172465100,2
2022,SK-85,PM 6M,2015030003,"CARTRIDGE,1077347-1, SOLAR",4
2022,SK-85,PM 6M,2029680022,"ELEMENT,FILTER,PN.1048257-3,SOLAR",2
2022,SK-85,PM 6M,2089230129,"VALVE,FUEL CONTROL,2018739-200",4
2022,SK-85,PM 6M,2029710043,"ELEMENT,FILTER,1039741,SOLAR",4
2022,SK-85,PM 3M,2029710048,"ELEMENT,FILTER,2"",1060817-40,SOLAR",0
2022,SK-85,PM 3M,5989210126,"VALVE,SEL,2-4-5000-218,24VDC,EMERSON",0
2022,SK-85,PM 3M,6050650008,"KIT,REPAIR,2-3-9300-108,DANIEL",0
2022,SK-91,PM 3M,2074690034,SEAL BUFFER AIR SOLAR TAURUS60 172465100,2
2022,SK-91,PM 3M,2015030003,"CARTRIDGE,1077347-1, SOLAR",4
2022,SK-91,CM,2029680022,"ELEMENT,FILTER,PN.1048257-3,SOLAR",2
2022,SK-91,CM,2089230129,"VALVE,FUEL CONTROL,2018739-200",4
2022,SK-91,PM 3M,2029710043,"ELEMENT,FILTER,1039741,SOLAR",4
2022,SK-91,PM 3M,2029710048,"ELEMENT,FILTER,2"",1060817-40,SOLAR",0
2022,SK-91,PM 3M,5989210126,"VALVE,SEL,2-4-5000-218,24VDC,EMERSON",0
2022,SK-80,PM 3M,6050650008,"KIT,REPAIR,2-3-9300-108,DANIEL",0
2022,SK-80,PM 3M,2029710045,"ELEMENT,FILTER,1087491-3,SOLAR",34
2022,SK-80,PM 3M,2029710044,"ELEMENT,FILTER,1064728-4,SOLAR",19
2022,SK-80,PM 6M,5964910016,"POSITIONER,SRD960-BHNSMN6EDZR,FOXBORO",0
2022,SK-80,PM 6M,2029710046,"ELEMENT,FILTER,190247-5,SOLAR",18
2022,SK-80,PM 1M,-,-,-
2022,SK-80,Weekly,-,-,-
2022,SK-80,PM 1M,-,-,-
2023,SK-95,PM 6M,2029710045,"ELEMENT,FILTER,1087491-3,SOLAR",4
2023,SK-95,PM 6M,2029710044,"ELEMENT,FILTER,1064728-4,SOLAR",2
2023,SK-95,PM 6M,5964910016,"POSITIONER,SRD960-BHNSMN6EDZR,FOXBORO",4
2023,SK-95,PM 6M,2029710046,"ELEMENT,FILTER,190247-5,SOLAR",4
2023,SK-95,PM 3M,6614480121,"CAPACITOR,STD,5%,60UF,250VAC,50/60HZ",1
2023,SK-95,PM 3M,2029710050,"ELEMENT,PRE FILTER,1046853,SOLAR",2
2023,SK-90,PM 3M,6883510024,"TERMINAL,2.5MM2 IIEX,BARTEC",2
2023,SK-90,PM 3M,2050650186,"KIT,ELEMENT,1064728-21,SOLAR",2
2023,SK-90,PM 1M,2034740272,"GASKET,EXHAUST,36 IN,80-30550-400,SOLAR",4
2023,SK-85,PM 6M,2074690034,SEAL BUFFER AIR SOLAR TAURUS60 172465100,2
2023,SK-85,PM 6M,2015030003,"CARTRIDGE,1077347-1, SOLAR",4
2023,SK-85,PM 6M,2029680022,"ELEMENT,FILTER,PN.1048257-3,SOLAR",6
2023,SK-85,PM 6M,2089230129,"VALVE,FUEL CONTROL,2018739-200",23
2023,SK-85,PM 6M,2029710043,"ELEMENT,FILTER,1039741,SOLAR",2
